video_url,nama_akun,uploadDate,likes,shares,caption,comments
https://www.tiktok.com/@ittstangsel/video/7569603141730307336,ittstangsel,11-6,12,0,Institut Teknologi Tangerang Selatan kolaborasi dengan Komunitas N8N Indonesia mengadakan Webminar AI & Automation. Terbuka untuk umum dan Free...silahkan mendaftar https://luma.com/k4zyhmhj,pengumuman kipk di tanggal berapa pak kok belum ada infonya
https://www.tiktok.com/@ittstangsel/video/7569488302340934920,ittstangsel,11-6,8,0,"Today, we officially signed a partnership agreement between the Institut Teknologi Tangerang Selatan, the Independent Information Security Rating Institute, and PT Xpert Synergy Solution This collaboration marks a strategic step in strengthening the cybersecurity ecosystem within both academic and industrial environments. Through this partnership, ITTS aims not only to enhance research and education in the field of information security but also to open wider opportunities for internship programs, applied research collaborations, and capacity development for students and lecturers in collaboration with industry professionals. We firmly believe that synergy between academia and industry is the key to nurturing digital talents who are well-prepared to face real-world challenges, particularly in the areas of information security and national digital transformation. May this initiative be a solid step toward building sustainable collaboration between the university and its industry partners (https://www.cyberrank.ai/).",
https://www.tiktok.com/@ittstangsel/video/7567938577112354066,ittstangsel,11-2,16,1,"Alhamdulillah, Here we go recap kegiatan ITTS dalam pameran innovation and technology JiExpo 28-30 Okt 2025. Makin sayang dengan ITTS, musiikk ….",
https://www.tiktok.com/@ittstangsel/video/7564305993241300232,ittstangsel,10-23,15,0,"Maaf, mimin belum bisa move on dari acara wisuda itts ✅",
https://www.tiktok.com/@ittstangsel/video/7563444556218354952,ittstangsel,10-21,40,5,"Alhamdulillah, selamat dan sukses untuk wisudawan institut teknologi tangerang selatan 2025",semoga sukses untuk seluruh lulusan ITTS amin | Iya memang yang pertama TAPI BUKAN yang terakhir
https://www.tiktok.com/@ittstangsel/video/7562744812319919378,ittstangsel,10-19,109,9,Selamat dan Sukses kepada seluruh Wisudawan Institut Teknologi Tangerang Selatan,Mantpss | Salam hormat untuk prof Onno  | Negri apa swasta  | Wih ada aku di situ  | ada program s2 cyber nya tdk |  angkatan pertama
https://www.tiktok.com/@ittstangsel/video/7555557218704248072,ittstangsel,9-30,7,0,"Diam, Amati, Eksekusi “telik sandi” Pendaftaran Mahasiswa Baru segera berakhir, 30 September 2025, pukul 23.59 wib. Terima Kasih kepada Orang Tua yang sudah mempercayakan kepada kampus ITTS. Terima Kasih yang sudah mendaftar untuk Kakak-Kakak Semuanya. Panitia PMB pamit undur diri, sampai bertemu lagi di PMB Tahun Depan T.A 2026-2027.",
https://www.tiktok.com/@ittstangsel/video/7555379010365066514,ittstangsel,9-29,20,0,H-1 ayo segera mendaftar sebelum penutupan. Kita Hack hati mantan 🤙🔥🔥,heker tayper kocakRatuMeciMoRTHy KrubzXploit PROMECI JABAR Ghost Cyber Army
https://www.tiktok.com/@ittstangsel/video/7555029270326791431,ittstangsel,9-28,13,0,2 Hari Lagi Penutupan Penerimaan Mahasiswa Baru,
https://www.tiktok.com/@ittstangsel/video/7554711316250889480,ittstangsel,9-27,13,0,"3 hari lagi menjelang penutupan mahasiswa baru , lets go join ̇nformatika",
https://www.tiktok.com/@ittstangsel/video/7554008046876314887,ittstangsel,9-25,14,0,"30 September 2025 , Penerimaan Mahasiswa Baru Tutup. Segera ke registrasi.itts.ac.id Onno W Purbo  Tunggu Yaa",Menyala Rektorku
https://www.tiktok.com/@ittstangsel/video/7550307906894269714,ittstangsel,9-15,22,2,"Ayo kuliah di ITTS, silahkan claim beasiswa pandi",
https://www.tiktok.com/@ittstangsel/video/7549083668212436231,ittstangsel,9-12,8,2,🚀 Wujudkan mimpimu di dunia teknologi! 📌 Penerimaan Mahasiswa Baru ITTS akan segera berakhir 30 September 2025 👉 Yuk daftar sekarang di registrasi.itts.ac.id ̇nformatika,
https://www.tiktok.com/@ittstangsel/video/7548755273507278088,ittstangsel,9-11,17,0,Pendaftaran Mahasiswa Baru akan segera berakhir dan tutup. Segera memasuki masa perkuliahaan. Bagi yang belum mendaftar segera registrasi ya.,
https://www.tiktok.com/@ittstangsel/video/7535835636368952583,ittstangsel,8-7,17,1,"*[TECHNICAL WEBINAR ALERT:  Running Ollama LLM on Radeon GPU using ROCm]* Punya GPU Radeon dan ingin terjun ke dunia Local LLM? Ini sesinya untukmu! Mari bergabung dalam webinar online yang akan mengupas tuntas cara menjalankan Ollama LLM di atas Radeon GPU menggunakan ROCm. Topik Bahasan: * Mengenal Local LLM & AI canggih di komputermu. * Memaksimalkan komputasi AI dengan ROCm. * LIVE DEMO: Instalasi & konfigurasi Ollama dari nol dengan menggunakan teknologi ROCm. Dibawakan langsung oleh: *Dimas Tirtajasa, Sec+, CySA+, CSAP* (Cybersecurity Analyst & Mahasiswa ITTS) Detail Sesi: * Kapan: Jum'at, 22 Agustus | 15.00 - 16.00 WIB * Di mana: Zoom Meeting ITTS Benefit: * Akses GRATIS * E-Sertifikat * Ilmu praktis yang bisa langsung dicoba Slot terbatas! Amankan tempatmu sekarang. ➡️ Daftar di sini: *s.id/itts-events*",
https://www.tiktok.com/@ittstangsel/video/7533977270214577426,ittstangsel,8-2,7,0,"‼️ Live Event: Kompetisi Individu ITTSEC CTF 2025! ‼️ Genderang kompetisi keamanan siber paling ditunggu telah ditabuh! Sebelum bertarung dan berkompetisi di arena utama, kami mengundang Anda ke Launching Event ITTSEC CTF 2025. Dapatkan semua info penting, dari aturan main hingga hadiah beasiswa, langsung dari para pakar. Acara ini akan dihadiri oleh: * Onno W. Purbo (Rektor ITTS) Onno Purbo * Dimaz Arno (Dosen ITTS) Dimaz Arno * Agung Budi P (Dosen ITTS) Agung Budi Prasetio, S.T, M.Eng, Ph.D, ISACA, PMP ACARA INI AKAN DISELENGGARAKAN PADA: 🗓️ Tanggal: Sabtu, 9 Agustus 2025 ⏰ Waktu: 09.00 - 11.00 WIB 📍 Tempat: Zoom Meeting ➡️ Gabung Acara Launching di sini: s.id/itts-events Sudah siap berkompetisi secara individu? ➡️ Daftarkan Dirimu untuk Lomba CTF di sini: ctf.ittsec.net",
https://www.tiktok.com/@ittstangsel/video/7533823819820059922,ittstangsel,8-2,15,1,,aku juga mawu | blm sempet close cek kampusnya
